Chapter_Desc,Chapter_Desc_Short,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.4,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.5,"Mental and behavioural disorders due to use of hallucinogens, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.6,"Mental and behavioural disorders due to use of hallucinogens, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.7,"Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.8,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F16,Mental and behavioural disorders due to use of hallucinogens,F16.9,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.0,"Mental and behavioural disorders due to use of tobacco, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.1,"Mental and behavioural disorders due to use of tobacco, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.2,"Mental and behavioural disorders due to use of tobacco, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.3,"Mental and behavioural disorders due to use of tobacco, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.4,"Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.5,"Mental and behavioural disorders due to use of tobacco, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.6,"Mental and behavioural disorders due to use of tobacco, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.7,"Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.8,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders"
